,1st week,2nd week,3rd week,4th week
176,8.4,10.15,12.95,11.55
177,9.8,11.2,12.95,13.3
178,10.5,12.25,12.25,12.95
179,10.5,12.6,11.2,13.3
180,10.15,10.85,9.8,12.6
181,8.75,10.5,10.5,11.55
182,8.75,11.2,9.8,11.2
183,8.05,10.15,10.5,10.15
184,8.4,10.85,9.8,10.85
185,8.05,9.8,9.8,10.15
186,7.7,9.8,10.15,10.85
187,8.05,9.8,9.45,10.5
188,8.05,9.8,10.15,10.5
189,8.05,10.15,9.8,10.5
190,8.05,9.45,9.45,10.85
191,7.7,10.15,9.45,10.15
192,8.05,9.8,9.1,10.85
193,8.05,9.8,9.1,10.5
194,8.05,9.8,9.45,10.5
195,8.05,9.45,9.1,10.5
196,8.05,9.8,9.1,10.5
197,8.05,10.15,9.1,10.85
198,8.05,10.15,9.45,10.85
199,8.4,9.8,9.45,10.5
200,8.05,9.8,9.45,10.15
201,7.7,9.8,8.75,9.45
202,8.05,9.45,9.1,9.8
203,7.7,9.8,8.75,9.8
204,8.05,9.45,9.1,9.45
205,8.4,10.5,10.5,9.8
206,8.4,9.8,9.1,10.5
207,7.7,9.8,9.1,10.15
208,14.7,12.25,12.6,20.3
209,18.55,14.35,19.6,20.3
210,20.3,14.7,20.3,21.35
211,20.3,15.05,19.6,21.0
212,19.95,16.8,19.25,19.6
213,19.6,21.35,18.55,19.6
214,19.25,20.3,17.5,18.55
215,18.9,18.9,15.05,18.55
216,19.6,16.8,15.05,15.75
217,19.25,14.7,15.75,12.95
218,18.2,12.25,15.05,9.1
219,18.2,9.45,14.0,3.5
220,16.8,5.25,4.2,1.05
221,15.05,1.4,0.35,0.0
222,12.95,0.0,0.0,0.0
223,13.3,0.0,0.35,0.0
224,13.65,0.0,6.65,0.0
225,12.6,0.0,4.2,0.0
226,17.15,0.0,0.0,0.0
227,16.8,0.0,0.0,0.35
228,17.15,0.0,0.0,0.35
229,15.4,0.0,0.0,0.0
230,12.25,0.0,0.0,2.1
231,11.2,0.0,0.0,3.15
232,17.5,0.0,0.0,3.85
233,14.0,0.0,0.0,3.5
234,13.65,0.0,0.0,2.45
235,12.6,0.0,0.0,4.55
236,19.25,0.0,0.0,7.0
237,14.35,0.0,0.0,8.4
238,12.25,0.0,0.0,12.25
239,3.5,0.0,0.0,8.75
240,3.85,0.0,0.0,2.1
241,5.6,0.0,0.0,13.3
242,0.0,0.0,0.0,11.2
243,1.05,0.0,0.0,7.0
244,2.1,0.0,0.0,8.75
245,7.35,0.0,0.0,4.2
246,7.35,0.0,0.0,10.85
247,13.3,0.0,0.0,2.1
248,5.95,0.0,0.0,13.65
249,10.85,0.0,0.0,5.6
250,4.55,0.0,0.0,6.3
251,14.35,0.0,0.0,4.9
252,24.85,0.0,0.0,15.05
253,17.5,0.0,0.0,10.5
254,7.35,0.0,0.35,0.7
255,1.4,0.0,0.0,0.0
256,9.1,0.0,0.0,8.4
257,8.05,0.0,0.7,4.55
258,12.6,0.35,2.8,3.5
259,11.9,0.35,8.75,3.15
260,12.25,1.05,8.05,3.5
261,14.0,3.5,9.8,2.45
262,17.85,11.2,15.75,8.05
263,23.1,15.75,22.75,14.7
264,24.5,17.85,25.55,16.1
265,25.55,20.65,26.6,19.25
266,25.2,19.25,24.85,22.4
267,21.35,18.2,21.35,22.05
268,18.55,17.5,16.8,16.45
269,9.45,12.6,12.25,8.75
270,7.7,9.8,12.95,7.35
271,7.7,9.45,14.0,8.05
272,7.7,9.8,14.0,8.75
273,9.1,11.2,14.7,9.45
274,9.8,11.2,13.3,10.5
275,9.8,12.25,13.3,10.5
276,7.7,10.15,11.9,8.05
277,8.4,9.8,10.85,8.05
278,7.7,9.8,11.2,7.7
279,7.7,9.8,10.5,7.7
280,7.7,9.8,10.15,7.35
281,7.35,9.8,10.5,7.7
282,8.05,9.8,10.5,7.7
283,7.35,9.1,10.5,7.7
284,8.05,9.8,10.15,7.35
285,7.7,9.45,10.15,7.35
286,7.7,9.8,9.8,7.7
287,7.7,9.45,10.5,7.7
288,7.35,9.8,10.5,7.35
289,8.05,9.8,10.15,7.7
290,7.7,9.45,10.15,7.35
291,7.7,9.8,9.8,7.7
292,7.35,9.45,10.15,7.7
293,8.05,9.8,10.15,7.35
294,7.7,9.8,10.15,8.05
295,7.7,10.15,10.5,7.7
296,7.7,9.45,9.1,7.7
297,7.35,9.8,9.8,7.35
298,7.7,9.8,9.1,7.35
299,7.35,9.8,10.15,7.7
300,7.35,9.45,9.1,7.0
301,7.7,9.45,8.75,7.35
